Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,injuries,dead,Victims,Vehicle Involved,Latitude,Longitude,Vehicle Type,Year
287,Pirojpur,firestation,,Wednesday,May,23,13,Afternoon,2,1,3,2,22.579483,89.987246,cycle_three_wheeler,2018
288,Thakurgaon,,thakurgaon_dinajpur_highway,Wednesday,May,23,12,Morning,0,1,1,2,26.014873,88.475514,truck_cycle,2018
289,Pabna,atghoria,,Thursday,May,24,20,Night,1,2,3,2,24.087216,89.220526,bus_cycle,2018
290,Chittagong,sitakunda,dhaka_chittagong_highway,Thursday,May,24,23,Night,0,1,1,2,22.53391,91.698583,bus_car,2018
291,Chittagong,sitakunda,dhaka_chittagong_highway,Friday,May,25,22,Night,0,2,2,2,22.527082,91.702019,truck_van,2018
292,Jhenaidah,itkhola,magura_jhenidah_road,Saturday,May,26,22,Night,1,2,3,1,23.540783,89.244359,car,2018
293,Dhaka,savar,dhaka_aricha_highway,Saturday,May,26,23,Night,0,1,1,1,23.843571,90.256637,van,2018
294,Sylhet,southsurma,lalmatia,Saturday,May,26,21,Night,2,1,3,2,24.862016,91.881084,truck_car,2018
295,Jhalokati,rajarpur,barisal_patharghata_road,Sunday,May,27,8,Morning,0,1,1,1,22.537923,90.171207,rickshaw,2018
296,Narayanganj,siddirganj,dhaka_chittagong_highway,Sunday,May,27,10,Morning,0,1,1,1,23.697699,90.508748,car,2018
297,Madaripur,chotokerchar,dhaka_khulna_highway,Sunday,May,27,11,Morning,2,1,3,1,23.229605,90.017841,truck,2018
298,Bandarban,,,Sunday,May,27,12,Morning,0,1,1,1,22.194695,92.217024,truck,2018
299,Gopalganj,,dhaka_khulna_highway,Monday,May,28,20,Night,1,1,2,2,22.999478,89.837154,car_rickshaw,2018
300,Jamalpur,,jamalpur_mymensingh_road,Monday,May,28,21,Night,4,1,5,2,24.912708,89.977618,car_three_wheeler,2018
301,Jessore,,chowgacha_narayanpur_road,Monday,May,28,20,Night,0,1,1,1,23.260989,89.023388,car,2018
302,Panchagarh,boda,,Monday,May,28,23,Night,0,1,1,1,26.196344,88.55892,cycle,2018
303,Rajshahi,godgarl,,Saturday,December,30,11,Morning,25,0,20,1,24.361265,88.604923,bus,2017
304,Gopalganj,kotalipara,,Wednesday,November,1,19,Evening,2,1,3,2,22.99238,90.018717,truck_cycle,2017
305,Gopalganj,kashiani,dhaka_barisal_highway,Tuesday,October,31,18,Evening,0,1,1,2,23.074603,90.210088,truck_cycle,2017
306,Chittagong,omargani,,Wednesday,November,1,16,Afternoon,0,1,1,1,22.360557,91.816812,car,2017
307,Jamalpur,mesta,,Wednesday,November,1,19,Evening,0,1,1,1,24.929306,89.944397,rickshaw,2017
308,Naogaon,jagdash,,Wednesday,November,1,20,Night,0,1,1,1,24.58791,89.023431,rickshaw,2017
309,Patuakhali,tiakhali,,Thursday,November,2,8,Morning,0,1,1,1,21.984403,90.228438,rickshaw,2017
310,Dinajpur,salbagan,Dinajpur_Panchagarh Highway,Saturday,November,4,10,Morning,0,4,4,2,25.855206,88.655194,three_wheeler_van,2017
311,Dinajpur,salbagan,Dinajpur_Panchagarh Highway,Saturday,November,4,8,Morning,0,8,8,2,25.841892,88.657773,van_rickshaw,2017
312,Dinajpur,bolega,kaharol_birganj_road,Saturday,November,4,6,Morning,0,1,1,1,25.806832,88.61028,bus,2017
313,Patuakhali,,,Saturday,November,4,7,Morning,1,1,2,2,22.357784,90.341551,cycle_car,2017
314,Faridpur,komorpur,Dhaka_khulna Highway,Saturday,November,4,14,Noon,0,1,1,2,23.306973,89.848811,cycle_three_wheeler,2017
315,Chittagong,NCB,,Saturday,November,4,6,Morning,0,1,1,2,22.310787,91.800618,truck_van,2017
316,Pabna,mozidpur,pabna_rajshahi_highway,Sunday,November,5,15,Afternoon,5,2,7,1,24.007793,89.238148,bus,2017
317,Dinajpur,mithapukur,,Sunday,November,5,7,Morning,10,1,11,1,25.572999,89.274429,bus,2017
318,Dinajpur,basherhat,dinajpur_thakurgaon_road,Sunday,November,5,9,Morning,2,1,3,1,25.976191,88.512546,truck,2017
319,Chittagong,,,Sunday,November,5,8,Morning,1,1,2,1,22.304422,91.792893,cycle,2017
320,Faridpur,konshu,gopalganj_takerhat_road,Saturday,November,4,9,Morning,0,1,1,1,23.556213,89.853887,cycle,2017
321,Natore,manikpur,bonpara_hatiqumrul_highway,Monday,November,6,16,Afternoon,0,1,1,1,24.318319,89.164937,truck,2017
322,Chittagong,oxyjenmor,,Tuesday,November,7,15,Afternoon,0,1,1,1,22.393461,91.821444,truck,2017
323,ChapaiNawabganj,ranirhat,,Tuesday,November,7,6,Morning,0,1,1,2,24.681413,88.156201,truck_rickshaw,2017
324,Jamalpur,malancha,jamalpur_dewanganj_road,Thursday,November,9,7,Morning,4,2,6,2,24.979098,89.850431,van_rickshaw,2017
325,Natore,satmail,natore_bogra_highway,Saturday,November,11,10,Morning,6,2,8,2,24.552396,89.19287,bus,2017
326,Mymensingh,bhaitkandi,mymensingh_sherpur_road,Friday,November,10,22,Night,0,1,1,1,24.957829,90.302494,cycle,2017
327,Jessore,,,Sunday,November,12,16,Afternoon,0,1,1,2,23.041408,88.897498,truck_cycle,2017
328,Gopalganj,kodompur,Dhaka_khulna Highway,Saturday,November,11,11,Morning,0,1,1,1,23.30713,89.849264,bus,2017
329,Faridpur,,,Tuesday,November,14,16,Afternoon,14,2,16,2,23.533911,89.86771,bus_van,2017
330,Chittagong,hathazari,,Tuesday,November,14,19,Evening,1,2,3,1,22.501518,91.807146,bus,2017
331,Bagerhat,bokultola,bagerhat_pirojpur_highway,Tuesday,November,14,20,Night,40,2,42,1,22.602596,89.884145,bus,2017
332,Dinajpur,doshmile,Dinajpur_Panchagarh Highway,Monday,November,13,19,Evening,1,2,3,1,25.817224,88.66651,truck,2017
333,Rajshahi,godagari,,Wednesday,November,15,24,Night,1,2,3,2,24.456389,88.335486,truck_three_wheeler,2017
334,Patuakhali,pakhimara,dhaka_kuakata_road,Wednesday,November,15,9,Morning,15,1,16,1,22.057983,90.237931,bus,2017
335,Natore,dalsarak,natore_bogra_highway,Thursday,November,16,10,Morning,4,3,7,2,24.57986,89.223905,three_wheeler_rickshaw,2017
336,Dinajpur,khetabmore,dinajpur_bogra_highway,Thursday,November,16,16,Afternoon,0,1,1,1,25.278049,89.23763,others,2017
337,Dinajpur,biral,,Thursday,November,16,17,Afternoon,0,1,1,2,25.684119,88.548894,truck_car,2017
338,Pirojpur,poykhali,,Thursday,November,16,15,Afternoon,0,1,1,2,22.486328,90.061407,cycle_three_wheeler,2017
339,Noakhali,takkar,sonapur_road,Sunday,November,19,16,Afternoon,0,1,1,1,22.838792,91.152027,van,2017
340,Jhenaidah,baishakhi,Jhenaidah_jessore_road,Saturday,November,18,23,Night,0,1,1,1,23.408386,89.135061,bus,2017
341,Chittagong,bayezid,,Sunday,November,19,14,Afternoon,0,1,1,1,22.389918,91.824168,truck,2017
342,Bagerhat,,bagerhat_khulna_highway,Sunday,November,19,12,Noon,0,1,1,2,23.044084,89.788288,bus_car,2017
343,Kurigram,pathari,,Monday,November,20,10,Morning,0,3,3,1,25.971096,89.688352,cycle,2017
344,Pirojpur,howladar,,Saturday,November,25,9,Morning,4,1,5,2,22.638392,90.01209,car_rickshaw,2017
345,Pirojpur,mathbaria,,Saturday,November,25,13,Noon,0,1,1,1,22.288671,89.959099,car,2017
346,Gaibandha,sundarganj,dhupni_kanchibari_road,Saturday,November,25,19,Evening,0,1,1,1,25.500125,89.596064,rickshaw,2017
347,Kurigram,patswaribazar,,Saturday,November,25,16,Afternoon,0,1,1,2,25.800335,89.637119,truck_cycle,2017
348,Chittagong,AK khangate,,Friday,November,24,23,Night,0,1,1,1,22.360098,91.781403,bus,2017
349,Naogaon,manda,naogaon_rajshahi_highway,Sunday,November,26,20,Night,2,2,4,1,24.7888,88.723536,bus,2017
350,Patuakhali,karamjatalali,patuakhali_kuakata_road,Tuesday,November,28,9,Morning,1,2,3,1,21.873761,90.131102,truck,2017
351,Natore,ahmedpur,natore_dhaka_highway,Tuesday,November,28,14,Noon,0,2,2,2,24.328722,89.074439,truck_cycle,2017
352,Natore,garmati,natore_pabna_highway,Tuesday,November,28,19,Evening,2,1,3,2,24.236943,89.112139,truck_car,2017
353,Barisal,,,Tuesday,November,28,19,Evening,5,1,6,1,22.710956,90.350451,truck,2017
354,Gaibandha,gopinathpur,rangpur_bogra_highway,Tuesday,November,28,17,Evening,0,1,1,2,25.135002,89.387792,truck,2017
355,Gaibandha,putimari,,Saturday,December,9,16,Afternoon,2,1,3,2,25.194496,89.579642,cycle,2017
356,Chittagong,kotwali,,Saturday,December,9,9,Morning,0,1,1,1,22.342578,91.827288,bus,2017
357,Chittagong,mirsarai,dhaka_chittagong_highway,Saturday,December,9,16,Afternoon,1,1,2,1,22.773852,91.573076,car,2017
358,Dinajpur,panchpir,dinajpur_thakurgaon_road,Sunday,December,10,16,Afternoon,0,2,2,2,25.866236,88.646452,three_wheeler_cycle,2017
359,Dinajpur,tentulia,dinajpur_rangpur_highway,Saturday,December,9,23,Night,0,1,1,2,25.657441,88.775824,bus_cycle,2017
360,Thakurgaon,sardarpara,,Sunday,December,10,16,Afternoon,0,1,1,1,26.240016,88.654385,truck,2017
361,Tangail,kalihati,,Sunday,December,10,8,Morning,12,3,15,2,24.390197,89.817892,bus_truck,2017
362,Tangail,kalihati,,Sunday,December,10,7,Morning,0,1,1,1,24.389845,89.818407,bus,2017
363,Rajshahi,godahari,,Wednesday,December,13,16,Afternoon,20,2,22,2,24.456554,88.33529,bus,2017
364,Rajshahi,,,Wednesday,December,13,22,Night,3,2,5,2,24.370028,88.588078,bus_cycle,2017
365,Rangpur,pirgaccha,,Tuesday,December,12,23,Night,3,2,5,2,25.670422,89.349507,bus_cycle,2017
366,Sunamganj,tajpur,,Friday,December,15,16,Afternoon,0,4,4,1,24.737536,91.661371,car,2017
367,Comilla,chiora,dhaka_chittagong_highway,Friday,December,15,9,Morning,1,2,3,2,23.168569,91.321228,bus_cycle,2017
368,Comilla,,,Friday,December,15,11,Morning,0,1,1,2,23.44448,91.149059,bus_car,2017
369,Faridpur,nagarkanda,,Sunday,December,17,10,Morning,0,1,1,1,23.420253,89.894889,three_wheeler,2017
370,ChapaiNawabganj,roshiknagar,,Sunday,December,17,9,Morning,0,1,1,1,24.680151,88.166263,truck,2017
371,Gopalganj,muksudpur,dhaka_barisal_highway,Monday,December,18,16,Afternoon,0,1,1,1,23.28287,90.012325,car,2017
372,Mymensingh,tarakanda,mymensingh_netrokona_road,Wednesday,December,20,11,Morning,3,2,5,2,24.843666,90.582685,truck_rickshaw,2017
373,Gaibandha,jundaha,rangpur_bogra_highway,Thursday,December,21,14,Noon,0,2,2,2,25.135747,89.387427,bus_cycle,2017
374,Dhaka,,ashulia_beribadth_road,Thursday,December,21,23,Night,0,2,2,1,23.894646,90.376133,van,2017
375,Tangail,kalihati,tangail_bhuapur_road,Friday,December,22,16,Afternoon,3,2,5,2,24.358671,89.926177,bus_three_wheeler,2017
376,Rajshahi,puthia,rajshahi_natore_hghway,Friday,December,22,16,Afternoon,0,1,1,1,24.361813,88.836305,truck,2017
377,Rajshahi,kamarpara,,Friday,December,22,17,Afternoon,0,1,1,1,24.363549,88.836924,truck,2017
378,Dinajpur,parbatipur,,Saturday,December,23,8,Morning,4,1,5,2,25.738334,89.123856,others,2017
379,Narayanganj,fatulla,dhaka_narayanganj_highway,Sunday,December,24,16,Afternoon,0,1,1,1,23.655853,90.489319,car,2017
380,Naogaon,piraldanga,Jaipurhat_dhamoirhat_road,Saturday,December,23,19,Evening,0,1,1,1,25.150304,88.851465,others,2017
381,Naogaon,piraldanga,,Saturday,December,23,20,Evening,0,1,1,1,25.050014,88.76212,others,2017
382,ChapaiNawabganj,,,Sunday,December,24,9,Morning,0,1,1,2,24.739891,88.291938,three_wheeler_cycle,2017
383,Chuadanga,noymile,,Monday,December,25,20,Evening,0,1,1,2,23.767192,88.943555,car,2017
384,Dinajpur,phulbari,,Thursday,December,28,8,Morning,15,0,15,2,25.499867,88.954981,bus_truck,2017
385,Chittagong,,dhaka_chittagong_highway,Thursday,December,28,7,Morning,0,1,1,1,22.38373,91.763496,van,2017
386,Chittagong,,,Wednesday,December,27,16,Afternoon,0,1,1,1,22.39116,91.75959,cycle,2017
387,Jhalokati,,barisal_khulna_highway,Thursday,December,28,9,Morning,0,1,1,2,22.650087,90.199863,bus_cycle,2017
388,Narsingdi,boraitola,Dhaka_sylhet_highway,Thursday,December,28,8,Morning,10,2,12,1,23.933643,90.707213,bus,2017
389,Chittagong,sitakundo,,Saturday,December,30,6,Morning,0,1,1,1,22.612212,91.662124,bus,2017
390,Dinajpur,birganj,,Saturday,December,30,8,Morning,20,0,20,1,25.859646,88.654971,bus,2017
396,Mymensingh,bhaluka,dhaka_mymensingh_highway,Saturday,July,1,11,Morning,0,1,1,2,24.379518,90.377297,bus_van,2017
398,Dinajpur,basherhat,dinajpur_rangpur_highway,Saturday,July,1,13,Noon,25,1,26,1,25.774237,88.880431,bus,2017
399,Narayanganj,rupganj,,Saturday,July,1,16,Afternoon,0,1,1,2,23.817081,90.537827,truck,2017
400,Mymensingh,sadar,,Monday,July,3,15,Afternoon,18,2,20,2,24.750069,90.426108,bus,2017
401,Jessore,notun_khojertola_area,,Sunday,July,2,20,Night,0,1,1,2,23.17721,89.178615,van_cycle,2017
402,Dinajpur,shridahargurnai,,Monday,July,3,11,Morning,0,1,1,1,25.608147,88.689224,three_wheeler,2017
403,Faridpur,madhukali,dhaka_khulna_highway,Monday,July,3,9,Morning,12,0,12,2,23.47799,89.417295,bus,2017
404,Dinajpur,solomil_kaharol,dinajpur_panchagarh_highway,Tuesday,July,4,9,Morning,10,3,13,2,26.336963,88.555165,bus_rickshaw,2017
405,Dinajpur,,,Tuesday,July,4,9,Morning,2,1,3,2,25.618203,88.648294,cycle,2017
406,Rajbari,rampur,,Tuesday,July,4,9,Morning,0,1,1,1,23.700893,89.618517,three_wheeler,2017
407,Brahmanbaria,bijoynagar,dhaka_sylhet_highway,Tuesday,July,4,13,Noon,0,1,1,1,24.051088,90.989769,bus,2017
408,Faridpur,bakhunda,dhaka_Barisal_highway,Wednesday,July,5,10,Morning,2,1,3,2,22.707747,90.351521,bus_cycle,2017
409,Dinajpur,bus_stand,,Wednesday,July,5,10,Morning,0,1,1,1,25.281309,89.010076,bus,2017
410,Chittagong,patiya,chittagong_cox'x_bazar_highway,Wednesday,July,5,11,Morning,15,0,15,1,22.362879,91.909503,bus,2017
411,Comilla,lakhhipur,dhaka_chittagong_highway,Friday,July,7,10,Morning,2,3,5,2,23.437963,91.15189,others,2017
412,Jhenaidah,magura_sadar,,Thursday,July,6,22,Night,20,2,22,2,23.490037,89.424165,bus,2017
413,Bogra,jamtola,bogra_dhaka_highway,Saturday,July,8,1,Morning,0,1,1,1,24.827057,89.355313,truck,2017
414,Chittagong,banshabari_sitakunda,dhaka_chittagong_highway,Saturday,July,8,2,Morning,0,1,1,1,22.384117,91.763271,others,2017
415,Manikganj,saturia,,Saturday,July,8,7,Morning,8,1,9,2,23.970157,90.0359,others,2017
416,Dinajpur,ghoraghat,,Sunday,July,9,8,Morning,0,1,1,1,25.273831,89.240494,bus,2017
417,Dinajpur,durgapur,dinajpur_bogra_highway,Sunday,July,9,5,Morning,30,0,30,2,25.306644,89.342502,bus_truck,2017
418,Narayanganj,siddhirganj,,Thursday,July,13,9,Morning,4,0,4,2,23.687547,90.48151,others,2017
419,Narsingdi,shibpur,dhaka_sylhet_highway,Friday,July,14,10,Morning,4,2,6,2,23.933221,90.706865,truck_van,2017
420,Bogra,sadar,bogra_rangpur_highway,Friday,July,14,12,Noon,7,1,8,2,24.826891,89.355603,bus_truck,2017
421,Chittagong,patiya,,Friday,July,14,11,Morning,9,0,9,1,22.295906,91.97843,bus,2017
422,Faridpur,sadarpur,faridpur_sadarpur_road,Friday,July,14,21,Night,0,1,1,2,23.474818,90.049032,three_wheeler_cycle,2017
423,Chittagong,mirshari,dhaka_chittagong_highway,Sunday,July,16,9,Morning,10,3,13,1,22.384186,91.763164,others,2017
424,Comilla,kodalia_nangolkot,,Sunday,July,16,9,Morning,2,1,3,2,23.46138,91.179749,truck_cycle,2017
425,Jessore,,,Saturday,July,15,20,Night,0,1,1,2,23.184298,89.187971,bus,2017
426,Sirajganj,hatikumrul_intersection,,Saturday,July,22,24,Night,0,3,3,1,24.429177,89.547479,truck,2017
427,Sirajganj,kazipur,,Saturday,July,22,11,Morning,15,2,17,1,24.455241,89.690232,bus,2017
428,Sirajganj,sadar,nalka_shialkole_road,Saturday,July,22,9,Morning,0,1,1,2,24.449534,89.676416,bus_cycle,2017
429,Lalmonirhat,hatibandha,,Saturday,July,22,13,Noon,0,2,2,1,26.140991,89.134998,truck,2017
430,Bogra,,bogra_natore_road,Saturday,July,22,19,Evening,0,1,1,2,24.83201,89.349767,truck_rickshaw,2017
431,Gazipur,MC_bazar_shreepur,,Saturday,July,22,16,Afternoon,0,1,1,2,24.241488,90.403528,van_cycle,2017
432,Gopalganj,betgram,dhaka_khulna_highway,Friday,July,21,11,Morning,4,1,5,2,22.973449,89.824329,truck_three_wheeler,2017
433,Dinajpur,harirampur_parbatipur,phulbari_mithapukur_road,Saturday,July,22,8,Morning,0,1,1,1,25.504975,88.973473,van,2017
434,Jessore,sadar,,Saturday,July,22,19,Evening,1,1,2,2,23.184298,89.187971,bus_cycle,2017
435,Faridpur,sadar,dhaka_khulna_highway,Friday,July,21,1,Morning,0,1,1,2,23.305882,89.845689,bus,2017
436,Faridpur,madhukali,dhaka_khulna_highway,Saturday,July,22,7,Morning,23,0,23,1,23.305882,89.845689,bus,2017
437,Naogaon,mohadevpur,naogaon_rajshahi_road,Sunday,July,23,16,Afternoon,1,2,3,2,24.855384,88.83387,others,2017
438,Rangpur,badarganj,,Tuesday,July,25,16,Afternoon,0,1,1,2,25.653119,89.067364,others,2017
439,Panchagarh,daulatpara_tetulia,,Monday,July,24,15,Afternoon,0,1,1,2,26.334209,88.552122,bus_cycle,2017
440,Bagerhat,daratana_bridge,,Monday,July,31,13,Noon,0,1,1,1,22.643073,89.80385,others,2017
441,Thakurgaon,baliadangi,thakurgaon_baliadangi_highway,Monday,July,31,9,Morning,3,1,4,1,26.146776,88.292689,three_wheeler,2017
442,Jhalokati,sottarkanda,Barisal_khulna_highway,Thursday,August,3,9,Morning,25,1,26,2,22.640116,90.198128,bus_three_wheeler,2017
443,Satkhira,bhairabnagar_tala,satkhira_khulna_highway,Friday,August,4,10,Morning,25,2,27,1,22.824823,89.324509,bus,2017
444,Satkhira,shyamnagar,,Friday,August,4,9,Morning,1,1,2,2,22.337172,89.106502,truck_cycle,2017
445,Satkhira,kolarawa,,Friday,August,4,8,Morning,0,1,1,1,22.325831,89.105477,cycle,2017
446,Sirajganj,betil_enayetpur,sirajganj_enayetpur_highway,Sunday,August,6,11,Morning,3,2,5,2,24.309719,89.697695,bus_truck,2017
447,Gaibandha,ghoagoa_union,madhupur_crossing_point,Sunday,August,6,12,Noon,0,1,1,1,25.329444,89.540875,three_wheeler,2017
448,Chittagong,katakhar,chittagang_university_road,Sunday,August,6,13,Noon,7,0,7,2,22.472219,91.787407,rickshaw,2017
449,Mymensingh,bhaluka_municipality,dhaka_mymensingh_highway,Monday,August,7,23,Night,35,2,37,2,24.379547,90.377372,others,2017
450,Jamalpur,chandra_level_crossing,,Wednesday,August,9,18,Evening,1,7,8,2,24.914678,89.954889,others,2017
451,Dhaka,,shahali_crossing_road,Thursday,August,10,16,Afternoon,0,1,1,1,23.806542,90.368901,truck,2017
452,Dhaka,uttara_sector1,,Thursday,August,10,23,Night,0,1,1,1,23.857854,90.401815,bus,2017
453,Dhaka,kola_airport,,Thursday,August,10,7,Morning,0,1,1,1,23.842855,90.403397,others,2017
454,Natore,ekdala,natore_rajshahi_highway,Thursday,August,10,9,Morning,2,2,4,2,24.360523,88.61952,bus_van,2017
455,Dinajpur,bochaganj,,Thursday,August,10,16,Afternoon,0,1,1,1,25.801781,88.460884,cycle,2017
456,Chittagong,nimtala_port,,Sunday,August,13,10,Morning,2,3,5,2,22.314367,91.798392,others,2017
457,Gopalganj,sadar,gopalganj_takenhat_road,Saturday,August,12,14,Afternoon,3,1,4,1,23.001805,89.821539,truck,2017
458,Jessore,beneali_jhikargacha,jessore_Jessore_highway,Sunday,August,13,16,Afternoon,15,1,16,1,23.128497,89.151808,bus,2017
459,Gopalganj,tungipara,gopalganj_tungipara_highway,Sunday,August,13,20,Night,0,1,1,1,23.016539,89.835577,three_wheeler,2017
460,Patuakhali,karonjatala,patuakhli_kuakata_highway,Sunday,August,13,18,Evening,2,1,3,2,21.823673,90.119645,others,2017
461,Habiganj,olipur_city,dhaka_sylhet_highway,Monday,August,14,9,Morning,0,2,2,2,24.62517,91.674189,bus_truck,2017
462,Narsingdi,raipura,dhaka_sylhet_highway,Monday,August,14,8,Morning,5,2,7,2,23.933191,90.706827,bus_truck,2017
463,Natore,rajibpur,shatni_kathuagari_road,Tuesday,August,15,14,Afternoon,0,1,1,2,24.407921,88.975413,three_wheeler_cycle,2017
464,Naogaon,manda,rajshahi_naogaon_highway,Saturday,August,19,1,Morning,4,6,10,1,24.723423,88.68256,truck,2017
465,Cox's Bazar,model_road,,Saturday,August,19,21,Night,6,2,8,2,21.425626,92.011304,rickshaw_car,2017
466,Dinajpur,debirganj,dinajpur_rangpur_highway,Saturday,August,19,22,Night,0,1,1,2,25.774101,88.880044,truck_cycle,2017
467,Barisal,bakerganj,,Saturday,August,19,19,Evening,0,1,1,2,22.540578,90.332771,others,2017
468,Thakurgaon,baliadangi,thakurgaon_baliadangi_highway,Sunday,August,20,18,Evening,0,1,1,1,26.078678,88.309302,others,2017
469,Thakurgaon,baliadangi,thakurgaon_baliadangi_highway,Sunday,August,20,16,Afternoon,1,0,1,1,26.078678,88.309302,cycle,2017
470,Jessore,chowagacha,fakirtola,Sunday,August,20,17,Afternoon,0,1,1,1,23.177624,89.180466,three_wheeler,2017
471,Patuakhali,galachipa,,Monday,August,21,10,Morning,0,1,1,1,22.165784,90.411645,three_wheeler,2017
472,Dinajpur,biral,dinajpur_bochaganj_road,Monday,August,21,8,Morning,0,1,1,2,25.796481,88.465012,bus_cycle,2017
473,Pabna,sujanagar,dhaka_pabna_highway,Tuesday,August,22,5,Morning,20,5,25,2,24.034169,89.43829,bus,2017
474,Faridpur,bus_stand_vanga,dhaka_khulna_highway,Wednesday,August,23,9,Morning,10,1,11,1,23.047622,89.782939,truck,2017
475,Nilphamari,saidpur,dhaka_dinajpur_highway,Wednesday,August,23,10,Morning,0,1,1,1,25.794857,88.906713,cycle,2017
476,Brahmanbaria,sarail,dhaka_sylhet_highway,Wednesday,August,23,16,Afternoon,0,1,1,1,24.048727,90.991711,truck,2017
477,Gazipur,kaliakoir,,Saturday,August,26,19,Evening,3,2,5,2,24.067035,90.221357,truck,2017
478,Kushtia,daulatpur_thana_road,,Saturday,August,26,20,Night,0,1,1,1,22.878588,89.518056,others,2017
479,Lakshmipur,jadia_madrasha,dhaka_Lakshmipur_road,Saturday,August,26,23,Night,0,1,1,2,23.738946,90.389487,bus_cycle,2017
480,Sirajganj,naimuribazar_salogna,hatikumrul_bangpara_highway,Saturday,August,26,21,Night,1,1,2,1,24.45216,89.681543,bus_cycle,2017
481,Chuadanga,sadar,,Monday,August,28,7,Morning,5,1,6,2,23.64579,88.854138,bus,2017
482,Naogaon,sadar,chandipur_bridge,Sunday,August,27,18,Evening,0,1,1,1,24.469436,89.791579,cycle,2017
483,Panchagarh,atuary,pachagarh_dhaka_highway,Monday,August,28,10,Morning,2,1,3,2,26.298052,88.557427,truck_cycle,2017
484,Narayanganj,rupganj,chan_textile_mill,Monday,August,28,8,Morning,0,1,1,1,23.813215,90.539496,bus,2017
485,Dhaka,bashbo_buddist_monastery,,Thursday,September,7,9,Morning,0,2,2,2,23.736334,90.429536,others,2017
486,Chittagong,,bagherhat_intersection,Thursday,September,7,17,Evening,0,1,1,1,22.362789,91.78281,others,2017
487,Chittagong,banshkali,,Thursday,September,7,9,Morning,0,1,1,1,22.356194,91.846117,three_wheeler,2017
488,Mymensingh,tarakanda,mymensingh_haluaghat_road,Thursday,September,7,16,Afternoon,2,1,3,2,25.122196,90.333604,truck_cycle,2017
489,Chittagong,muradpur,,Friday,September,8,17,Afternoon,0,2,2,2,22.368797,91.830613,bus_cycle,2017
490,Jessore,sadar,,Friday,September,8,10,Morning,2,2,4,2,23.182056,89.19055,truck_car,2017
491,Jhenaidah,kaliganj,,Friday,September,8,13,Noon,0,1,1,2,23.409167,89.1347,three_wheeler_cycle,2017
492,Bagerhat,morelganj,,Friday,September,8,8,Morning,0,1,1,2,22.451052,89.852199,truck_van,2017
493,Comilla,debidwar,,Thursday,September,7,22,Night,4,1,5,2,23.615087,90.977936,bus_rickshaw,2017
494,Chittagong,mirsarai,dhaka_chittagong_highway,Monday,September,11,6,Morning,6,2,8,2,22.981786,91.416001,bus_truck,2017
495,Rajshahi,,university_road,Monday,September,11,15,Noon,2,1,3,2,24.366196,88.638481,bus_rickshaw,2017
496,Brahmanbaria,sarail,islamabad_bus_stand,Monday,September,11,9,Morning,30,0,30,1,24.083132,91.117014,bus,2017
497,Dhaka,savar,dhaka_aricha_highway,Thursday,September,14,21,Night,1,1,2,2,23.851187,89.93629,others,2017
498,Dhaka,savar,CB_area,Friday,September,15,4,Morning,0,1,1,1,23.86822,90.271712,truck,2017
499,Chittagong,city's_cinema_palace,,Friday,September,15,7,Morning,0,2,2,2,22.328466,91.821241,truck_rickshaw,2017
500,Sunamganj,nurpur,sylhet_sunamganj_highway,Friday,September,22,16,Afternoon,7,2,9,1,25.069349,91.405992,bus,2017
501,Rangpur,jaigirhat,rangpur_bogra_highway,Wednesday,September,20,18,Evening,0,2,2,2,24.818695,89.374059,cycle_van,2017
502,Chittagong,sitakunda,dhaka_chittagong_highway,Friday,September,22,9,Morning,0,1,1,1,22.981786,91.41598,bus,2017
503,Chittagong,,foujdarhat_bypass,Wednesday,September,20,24,Night,0,1,1,1,22.402622,91.755796,bus,2017
504,Jaipurhat,panchbini,Jaipurhat_hill_road,Thursday,September,28,12,Noon,1,2,3,2,25.036967,89.271843,truck_cycle,2017
505,Barisal,Barisal_univesity,Barisal_patuakhali_highway,Saturday,September,9,19,Evening,0,1,1,1,22.553241,90.335414,others,2017
506,Comilla,adorsho_sadar,dhaka_chittagong_highway,Friday,September,29,11,Morning,0,2,2,1,22.979672,91.418061,van,2017
507,Rangpur,,,Saturday,September,9,17,Afternoon,0,2,2,2,25.740864,89.25346,bus_cycle,2017
508,Jhenaidah,shailakupa,,Saturday,September,9,16,Afternoon,0,1,1,1,23.684962,89.239775,rickshaw,2017
509,Jhalokati,gobindo_debol,,Tuesday,September,26,22,Night,0,1,1,1,22.643229,90.206407,cycle,2017
510,Faridpur,nagarkanda,,Tuesday,September,26,10,Morning,11,3,14,1,23.42389,89.890931,bus,2017
511,Noakhali,senbag,noakhali_feni_highway,Thursday,September,14,23,Night,18,3,21,2,22.947777,91.249204,bus,2017
512,Jaipurhat,panchbibi,pachbibi_hakimpur_road,Thursday,September,14,2,Morning,1,1,2,2,25.274288,89.013022,truck_cycle,2017
513,Bagerhat,sharankhola,,Thursday,September,14,1,Morning,0,1,1,1,22.314069,89.848723,bus,2017
514,Satkhira,sadar,satkhira_bhomra_road,Thursday,September,14,13,Noon,0,1,1,2,22.671035,88.966636,truck,2017
515,Satkhira,tujulpur_bazar,,Thursday,September,14,11,Morning,0,1,1,1,22.716889,89.070566,truck,2017
