Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,injuries,dead,Victims,Vehicle Involved,Latitude,Longitude,Vehicle Type,Year
126,Sylhet,dakshin,dhaka_sylhet_hihgway,Monday,January,22,7,Morning,10,4,14,2,24.626537,91.677719,bus_truck,2018
127,Dinajpur,birampur,,Tuesday,January,23,21,Night,0,1,1,2,25.391017,88.991219,truck_cycle,2018
128,Comilla,laksham,,Tuesday,January,23,22,Night,0,1,1,1,23.264463,91.123402,rickshaw,2018
129,Narayanganj,sonargaon,,Tuesday,January,23,21,Night,0,1,1,1,23.647252,90.59904,bus,2018
130,Bagerhat,,,Tuesday,January,23,20,Night,0,1,1,1,22.784714,89.725202,bus,2018
131,Thakurgaon,baliadangi,,Tuesday,January,23,19,Night,0,1,1,1,26.085272,88.276974,bus,2018
132,Thakurgaon,haripur,,Tuesday,January,23,21,Night,0,1,1,2,25.829453,88.125404,three_wheeler_cycle,2018
133,Dhaka,dhanmondi,mirpur_road,Friday,January,26,5,Morning,0,1,1,1,23.747434,90.380525,car,2018
134,Chittagong,kajipara,chittagong_coxsbazar_highway,Saturday,January,27,11,Morning,0,2,2,2,22.363647,91.908779,bus_cycle,2018
135,Chittagong,akabarshah,,Saturday,January,27,9,Morning,1,1,2,1,22.363882,91.792496,bus,2018
136,Munshiganj,srinagar,dhaka_mawa_highway,Saturday,January,27,7,Morning,2,1,3,2,23.539852,90.293596,van_rickshaw,2018
137,Bagerhat,,bagerhat_mawa_highway,Saturday,January,27,8,Morning,0,1,1,1,22.784714,89.725202,cycle,2018
138,Khulna,,,Saturday,January,27,7,Morning,0,1,1,2,22.865766,89.528099,van_cycle,2018
139,Faridpur,nagarkanda,juguedi,Saturday,January,27,9,Morning,1,1,2,1,23.41929,89.892201,cycle,2018
140,ChapaiNawabganj,shibganj,,Tuesday,January,30,22,Night,2,0,2,1,24.684119,88.166301,car,2018
141,Bagerhat,,,Monday,January,29,22,Night,0,1,1,2,22.784714,89.725202,truck_cycle,2018
142,Pabna,sayedabad_area, bangabandhu_bridge_west,Saturday,June,2,11,Morning,10,4,14,2,24.392635,89.717213,bus_van,2018
143,Faridpur,kalipar_madhukhali_upazila, dhaka_khulna_highway,Saturday,June,2,14,Afternoon,0,2,2,2,23.337327,89.87923,truck_cycle,2018
144,Faridpur,goriadaho_madhukhli_upazila, dhaka_khulna_highway,Saturday,June,2,16,Afternoon,0,1,1,1,23.043738,89.788578,bus,2018
145,Mymensingh, boleswar_muktagasa,,Saturday,June,2,14,Afternoon,0,1,1,2,24.761429,90.270085,bus_cycle,2018
146,Chittagong,oxygen_intersection_port_city,,Wednesday,June,6,8,Morning,0,1,1,1,22.33681,91.770436,others,2018
147,Tangail,kalihati_upazila, bangabandhu_bridge_link_road,Wednesday,June,6,3,Night,0,4,4,2,24.384128,89.842585,truck,2018
148,Sylhet,,dhaka_sylhet_highway,Wednesday,June,6,23,Night,3,3,6,2,24.827137,91.813401,truck_three_wheeler,2018
149,Mymensingh,,dhaka_mymensingh_highway,Wednesday,June,6,13,Afternoon,0,2,2,1,24.711784,90.410467,van,2018
150,Patuakhali,boardoffice_bazar_area,,Sunday,June,3,11,Morning,3,1,4,2,24.752435,90.414659,cycle,2018
151,Dinajpur,belachandi_area, parbatipur_saidpur_road,Monday,June,4,12,Morning,0,1,1,2,25.766143,88.91743,truck,2018
152,Chittagong, nayakhal_satkania, chittagang_cox'sbazar_highway,Saturday,June,9,13,Afternoon,5,2,7,2,22.384674,91.858728,bus,2018
153,Chittagong,banur_bazar_sitakunda,,Saturday,June,9,17,Afternoon,0,1,1,2,22.413392,91.753772,van_cycle,2018
154,Panchagarh, sadar_upazila, panchagarh_banglabandha_highway,Saturday,June,9,9,Morning,0,1,1,2,26.63265,88.414657,truck_cycle,2018
155,ChapaiNawabganj, pukuria_shibganj_upazila,,Saturday,June,9,8,Morning,0,1,1,1,24.70113,88.161173,van,2018
156,Bogra,chakbachai_gabtali,,Saturday,June,9,19,Evening,4,1,5,2,24.880029,89.448495,bus_rickshaw,2018
157,Dinajpur,saidpur_bypassroad_dhalagachh_intersection, dhaka_dinajpur_highway,Thursday,June,14,22,Night,13,10,23,2,25.79372,88.951037,bus_van,2018
158,Chittagong, sahgodi_nimtoli_patiya_upazila,,Friday,June,15,14,Afternoon,0,3,3,2,22.290814,91.984541,bus,2018
159,Chittagong, barabkunda_shuklahat, dhaka_chittaganj_highway,Friday,June,15,21,Night,0,2,2,1,22.383366,91.763898,bus,2018
160,Chittagong, madambibir_hat_sitakunda_upazila, dhaka_chittaganj_highway,Friday,June,15,11,Morning,0,1,1,1,22.383366,91.763898,others,2018
161,Chandpur,,,Friday,June,15,16,Afternoon,0,1,1,2,23.234723,90.679289,car_rickshaw,2018
162,Tangail,kurni_mirzapur, dhaka_tangail_highway,Friday,June,15,12,Morning,25,1,26,2,24.08897,90.185391,bus,2018
163,Habiganj, uttarbazar_chunarughat,,Saturday,June,16,15,Afternoon,0,1,1,1,24.200147,91.519503,bus,2018
164,Jhenaidah, madupur_pachmile_area, magura_jenidah_highway,Saturday,June,16,11,Morning,0,1,1,1,23.484279,89.390481,cycle,2018
